"oid","name","count","sampleKeyword","sampleTitle","sampleUrl","source"
"002","프레시안","4","검찰","홍준표, 한동훈 겨냥 &quot;너 때문에 검찰 해체&quot; 독설","https://n.news.naver.com/mnews/article/002/0002449696?sid=100","media.naver.com/press"
"005","국민일보","12","사회","李대통령 ‘샌프란 AI선언’…“누구도 소외되지 않는 AI기본사회”","https://n.news.naver.com/mnews/article/005/0001863026?sid=100","media.naver.com/press"
"011","서울경제","7","경제","EU ‘러 LNG 韓수출 제재 면제’…李대통령 “경제에 큰 도움”","https://n.news.naver.com/mnews/article/011/0004645145?sid=100","media.naver.com/press"
"014","파이낸셜뉴스","15","IT","개발부터 운영까지 AI 입힌 KT…'AID-X'로 IT 혁신 속도","https://n.news.naver.com/mnews/article/014/0005552406?sid=105","media.naver.com/press"
"016","헤럴드경제","6","반도체","이재용·올트먼, 오픈AI 본사서 회동…AI 반도체 협력 모색","https://n.news.naver.com/mnews/article/016/0002675126?sid=101","media.naver.com/press"
"021","문화일보","8","국회","정청래 “국회의원 160명, 권리당원 160만명…‘1인1표제’ 당심이 이긴...","https://n.news.naver.com/mnews/article/021/0002807051?sid=100","media.naver.com/press"
"022","세계일보","16","정치","국힘, 정성호 사의 표명에 “레임덕 신호탄·사표 정치쇼” 맹공","https://n.news.naver.com/mnews/article/022/0004145782?sid=100","media.naver.com/press"
"024","매경이코노미","5","주식","해외선 ‘하이닉스 토큰 주식’ 뜨는데…한국은 ‘그림의 떡’","https://n.news.naver.com/mnews/article/024/0000107130?sid=101","media.naver.com/press"
"029","디지털타임스","4","인공지능","앤트로픽 CEO 만난 李대통령, “韓 인공지능 투자 대대적 확대”","https://n.news.naver.com/mnews/article/029/0003038748?sid=100","media.naver.com/press"
"030","전자신문","8","경제","[이슈플러스] AI 시대 새 경제 질서 '토큰 이코노미'가 뜬다","https://n.news.naver.com/mnews/article/030/0003451013?sid=105","media.naver.com/press"
"031","아이뉴스24","3","경제","EU '러 LNG 韓수출 제재 면제'에⋯李대통령 &quot;경제에 큰 도움&quot;","https://n.news.naver.com/mnews/article/031/0001044784?sid=100","media.naver.com/press"
"036","한겨레21","2","기후","1년 새 화마에 수마까지… 솥단지와 함께 떠도는 경북 ‘기후 난민’","https://n.news.naver.com/mnews/article/036/0000053942?sid=103","media.naver.com/press"
"050","한경비즈니스","4","삼성전자","삼성전자·SK '초대박'...미국서 난리났다","https://n.news.naver.com/mnews/article/050/0000108948?sid=101","media.naver.com/press"
"053","주간조선","3","과학","&quot;나는 왜 늘 배고플까&quot;…과학적 이유 있었다","https://n.news.naver.com/mnews/article/053/0000060207?sid=103","media.naver.com/press"
"057","MBN","19","정치","정점식 &quot;이 대통령, 보완수사권에 침묵 중⋯비겁하게 정치&quot;","https://n.news.naver.com/mnews/article/057/0001960394?sid=100","media.naver.com/press"
"076","스포츠조선","3","문화","카카오맵, 아이돌 스키즈 콘서트 지도 선보여…문화·이벤트 현장 경험...","https://n.news.naver.com/mnews/article/076/0004429302?sid=101","media.naver.com/press"
"079","노컷뉴스","6","문화","경북도, 한일 정상회담 계기 나라현과 문화교류 확대","https://n.news.naver.com/mnews/article/079/0004172033?sid=102","media.naver.com/press"
"081","서울신문","10","정치","정점식 “李대통령, 비겁한 정치…공소취소 뒷거래 깨질까 침묵하나”","https://n.news.naver.com/mnews/article/081/0003664641?sid=100","media.naver.com/press"
"082","부산일보","4","건강","LG생활건강 더페이스샵, 美 월마트 입점…북미 오프라인 강화","https://n.news.naver.com/mnews/article/082/0001391295?sid=101","media.naver.com/press"
"088","매일신문","2","입시","29일부터 '학생부 상업적 이용' 금지에…입시업체, 수시 합격예측 서비...","https://n.news.naver.com/mnews/article/088/0001020666?sid=102","media.naver.com/press"
"092","ZDNet Korea","4","사회","허민 국가유산청장 &quot;갯벌 보전, 한 나라 몫 아닌 국제사회 공동 책임 과...","https://n.news.naver.com/mnews/article/092/0002431870?sid=103","media.naver.com/press"
"108","스타뉴스","1","스포츠","韓 스포츠클라이밍 미래 빛났다! 청소년 세계선수권서 금 2·은 3·동 1","https://m.sports.naver.com/general/article/108/0003456327","media.naver.com/press"
"109","OSEN","1","연예","&quot;김호영 뭐든&quot;...'옥장판' 침묵 김호영, 바다·변요한 동료 연예인 응원...","https://m.entertain.naver.com/article/109/0005578352","media.naver.com/press"
"123","조세일보","4","주식","해외주식 팔고도 세금혜택 놓친다…RIA ‘결제일 함정’ 주의보","https://n.news.naver.com/mnews/article/123/0002387229?sid=101","media.naver.com/press"
"138","디지털데일리","2","세금","7월에 팔았는데 ‘세금 폭탄’…RIA 결제일 놓치면 세금 5배","https://n.news.naver.com/mnews/article/138/0002235463?sid=101","media.naver.com/press"
"215","한국경제TV","6","사회","李대통령 '샌프란AI 선언'…'AI 기본사회' 세계에 알렸다","https://n.news.naver.com/mnews/article/215/0001259932?sid=100","media.naver.com/press"
"241","일간스포츠","2","스포츠","스포츠클라이밍 청소년 대표팀, 아르코 세계선수권서 메달 6개 획득…정...","https://m.sports.naver.com/general/article/241/0003521859","media.naver.com/press"
"243","이코노미스트","2","IT","'성과급 6억' 인증의 비극… 대형 IT 기업 팀장, 명세서 유출로 영구 제...","https://n.news.naver.com/mnews/article/243/0000100873?sid=101","media.naver.com/press"
"277","아시아경제","11","경제","EU '러 LNG 韓수출 제재 면제'…李 &quot;경제에 큰 도움&quot;","https://n.news.naver.com/mnews/article/277/0005794536?sid=100","media.naver.com/press"
"296","코메디닷컴","1","코로나","코로나 백신도 국산 mRNA로?…GC녹십자, 임상 2상 신청","https://n.news.naver.com/mnews/article/296/0000102934?sid=102","media.naver.com/press"
"366","조선비즈","15","경제","李, EU ‘러시아산 LNG 한국 수출 제재 면제’에 “경제 큰 도움”","https://n.news.naver.com/mnews/article/366/0001181880?sid=100","media.naver.com/press"
"374","SBS Biz","2","연예","걸그룹 연예인이 뚫은 '18억 로또'…커지는 청년 박탈감","https://n.news.naver.com/mnews/article/374/0000523695?sid=101","media.naver.com/press"
"382","스포츠동아","2","스포츠","코오롱스포츠, 16명의 청춘 설산과 원시림으로","https://n.news.naver.com/mnews/article/382/0001285045?sid=103","media.naver.com/press"
"408","MBC연예","1","연예","'호프' 300만 관객 돌파→유튜버 지무비?권아름 열애 중 [주간연예이슈...","https://m.entertain.naver.com/article/408/0000316037","media.naver.com/press"
"410","MK스포츠","2","연예","‘일 없는 연예인’ 이선정, 母 식당서 국수 삶던 2년…“이제는 내가 ...","https://m.entertain.naver.com/article/410/0001133908","media.naver.com/press"
"417","동행미디어 시대","1","금리","'13조 실적잔치' 벌인 5대 금융, 금리·증시 쌍끌이에 최대 순익","https://n.news.naver.com/mnews/article/417/0001153037?sid=101","media.naver.com/press"
"422","연합뉴스TV","10","국제","국제유가 급등…국내 기름값 반등 조짐","https://n.news.naver.com/mnews/article/422/0000889054?sid=101","media.naver.com/press"
"437","JTBC","2","검찰","홍준표 &quot;너 때문에 이재명 정권이 검찰 해체·보완수사권 박탈&quot;","https://n.news.naver.com/mnews/article/437/0000503073?sid=100","media.naver.com/press"
"448","TV조선","17","연예","'윤창호법 처벌 1호' 연예인 손승원, 항소심서 &quot;다시는 실수 안해&quot;","https://n.news.naver.com/mnews/article/448/0000628857?sid=102","media.naver.com/press"
"449","채널A","4","검찰","한병도 “국민의힘, 검찰 기득권 지키겠다고 거짓 선동”","https://n.news.naver.com/mnews/article/449/0000354358?sid=100","media.naver.com/press"
"468","스포츠서울","1","소상공인","경기신보, 중소기업·소상공인 지원사업설명회 ‘성료’","https://n.news.naver.com/mnews/article/468/0001255813?sid=102","media.naver.com/press"
"469","한국일보","8","검찰","홍준표, 한동훈 저격? &quot;너 때문에 李 정권이 검찰 해체&quot;","https://n.news.naver.com/mnews/article/469/0000944386?sid=100","media.naver.com/press"
"609","뉴스엔","1","연예","박나래 ‘차량 뒷자리 성관계 의혹’ 새국면 “매니저 말 3번 바꿔, 노동...","https://m.entertain.naver.com/article/609/0001150318","media.naver.com/press"
"629","더팩트","4","AI","삼성 이재용, 오픈AI 본사 방문…샘 올트먼과 AI 협력 논의","https://n.news.naver.com/mnews/article/629/0000519046?sid=101","media.naver.com/press"
"648","비즈워치","1","세금","RIA 해외주식, '결제완료일' 확인해야…세금 5배 차이 날수도","https://n.news.naver.com/mnews/article/648/0000049206?sid=101","media.naver.com/press"
"654","강원도민일보","3","코로나","관광수지 3개월 연속 흑자…외국인 관광객 1인당 193만원 썼다","https://n.news.naver.com/mnews/article/654/0000192032?sid=101","media.naver.com/press"
"656","대전일보","1","입시","명문대 향하는 검정고시생…입시 지형도 바뀌나","https://n.news.naver.com/mnews/article/656/0000182429?sid=102","media.naver.com/press"
"658","국제신문","2","SK하이닉스","SK하이닉스, 2분기 영업이익 64조 전망…이익률 75% 상회 예상","https://n.news.naver.com/mnews/article/658/0000150557?sid=101","media.naver.com/press"
"659","전주MBC","1","탄소중립","전주시, 탄소중립 실천한 시민에 2억여 원 인센티브","https://n.news.naver.com/mnews/article/659/0000045472?sid=102","media.naver.com/press"
"666","경기일보","1","태풍","비정규직은 재난도 차별받나…폭우·태풍 와도 2명 중 1명은 출근해야","https://n.news.naver.com/mnews/article/666/0000116629?sid=102","media.naver.com/press"
