"oid","count","sampleKeyword","sampleTitle","sampleUrl"
"002","4","검찰","홍준표, 한동훈 겨냥 &quot;너 때문에 검찰 해체&quot; 독설","https://n.news.naver.com/mnews/article/002/0002449696?sid=100"
"005","12","사회","李대통령 ‘샌프란 AI선언’…“누구도 소외되지 않는 AI기본사회”","https://n.news.naver.com/mnews/article/005/0001863026?sid=100"
"011","7","경제","EU ‘러 LNG 韓수출 제재 면제’…李대통령 “경제에 큰 도움”","https://n.news.naver.com/mnews/article/011/0004645145?sid=100"
"014","15","IT","개발부터 운영까지 AI 입힌 KT…'AID-X'로 IT 혁신 속도","https://n.news.naver.com/mnews/article/014/0005552406?sid=105"
"016","6","반도체","이재용·올트먼, 오픈AI 본사서 회동…AI 반도체 협력 모색","https://n.news.naver.com/mnews/article/016/0002675126?sid=101"
"021","8","국회","정청래 “국회의원 160명, 권리당원 160만명…‘1인1표제’ 당심이 이긴...","https://n.news.naver.com/mnews/article/021/0002807051?sid=100"
"022","16","정치","국힘, 정성호 사의 표명에 “레임덕 신호탄·사표 정치쇼” 맹공","https://n.news.naver.com/mnews/article/022/0004145782?sid=100"
"024","5","주식","해외선 ‘하이닉스 토큰 주식’ 뜨는데…한국은 ‘그림의 떡’","https://n.news.naver.com/mnews/article/024/0000107130?sid=101"
"029","4","인공지능","앤트로픽 CEO 만난 李대통령, “韓 인공지능 투자 대대적 확대”","https://n.news.naver.com/mnews/article/029/0003038748?sid=100"
"030","8","경제","[이슈플러스] AI 시대 새 경제 질서 '토큰 이코노미'가 뜬다","https://n.news.naver.com/mnews/article/030/0003451013?sid=105"
"031","3","경제","EU '러 LNG 韓수출 제재 면제'에⋯李대통령 &quot;경제에 큰 도움&quot;","https://n.news.naver.com/mnews/article/031/0001044784?sid=100"
"036","2","기후","1년 새 화마에 수마까지… 솥단지와 함께 떠도는 경북 ‘기후 난민’","https://n.news.naver.com/mnews/article/036/0000053942?sid=103"
"050","4","삼성전자","삼성전자·SK '초대박'...미국서 난리났다","https://n.news.naver.com/mnews/article/050/0000108948?sid=101"
